"lang"
{
  "Language"		"English"

    "DOTA_Tooltip_Ability_upgrade_temple_of_necromancy"               "Upgrade Temple of Necromancy"
    "DOTA_Tooltip_Ability_upgrade_temple_of_necromancy_Lore"          "Upgrades: 1"
    "DOTA_Tooltip_Ability_upgrade_temple_of_necromancy_Description"   "<font color='#62bc25'>Unit Trainer</font>\n<h1>Mighty Necromancer</h1>Attack: Magic (400 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Greater Raise Dead<br>- Carrion Swarm (25%% chance, 70 damage)"
    "DOTA_Tooltip_Ability_train_mighty_necromancer"               "Train Mighty Necromancer"
    "DOTA_Tooltip_Ability_train_mighty_necromancer_Description"   "<h1>Mighty Necromancer</h1>Attack: Magic (400 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Greater Raise Dead<br>- Carrion Swarm (25%% chance, 70 damage)"

    "DOTA_Tooltip_Ability_upgrade_high_citadel_of_necromancy"               "Upgrade High Citadel of Necromancy"
    "DOTA_Tooltip_Ability_upgrade_high_citadel_of_necromancy_Description"   "<font color='#62bc25'>Unit Trainer</font>\n<h1>Lich King</h1>Attack: Magic (500 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Ultimate Raise Dead<br>- Decaying Attack (15%% Soul Steal, 10%% Death and Decay)<br>- Legendary Spell Resistance"
    "DOTA_Tooltip_Ability_train_lich_king"               "Train Lich King"
    "DOTA_Tooltip_Ability_train_lich_king_Description"   "<h1>Lich King</h1>Attack: Magic (500 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Ultimate Raise Dead<br>- Decaying Attack (15%% Soul Steal, 10%% Death and Decay)<br>- Legendary Spell Resistance"

    "DOTA_Tooltip_Ability_build_crypt"               "Build Crypt"
    "DOTA_Tooltip_Ability_build_crypt_Lore"          "Upgrades: 1"
    "DOTA_Tooltip_Ability_build_crypt_Description"   "<font color='#62bc25'>Unit Trainer</font>\n<h1>Vampire</h1>Attack: Pierce (melee)<br>Armor: Hero\n\n<h1>Abilities:</h1>- Raise Lesser Vampire<br>- Lifesteal Aura (20%%, melee only)"
    "DOTA_Tooltip_Ability_train_vampire"               "Train Vampire"
    "DOTA_Tooltip_Ability_train_vampire_Description"   "<h1>Vampire</h1>Attack: Pierce (melee)<br>Armor: Hero\n\n<h1>Abilities:</h1>- Raise Lesser Vampire<br>- Lifesteal Aura (20%%, melee only)"

    "DOTA_Tooltip_Ability_upgrade_graveyard"               "Upgrade Graveyard"
    "DOTA_Tooltip_Ability_upgrade_graveyard_Description"   "<font color='#62bc25'>Unit Trainer</font>\n<h1>Vampire Lord</h1>Attack: Pierce (melee)<br>Armor: Hero\n\n<h1>Abilities:</h1>- Raise Vampire<br>- Lifesteal Aura (20%%, melee only)"
    "DOTA_Tooltip_Ability_train_vampire_lord"               "Train Vampire Lord"
    "DOTA_Tooltip_Ability_train_vampire_lord_Description"   "<h1>Vampire Lord</h1>Attack: Pierce (melee)<br>Armor: Hero\n\n<h1>Abilities:</h1>- Raise Vampire<br>- Lifesteal Aura (20%%, melee only)"

    "DOTA_Tooltip_Ability_build_haunted_mine"               "Build Haunted Mine"
    "DOTA_Tooltip_Ability_build_haunted_mine_Lore"          "Upgrades: 0"
    "DOTA_Tooltip_Ability_build_haunted_mine_Description"   "<font color='#62bc25'>Unit Trainer</font>\n<h1>Banshee</h1>Attack: Magic (420 range)<br>Armor: Divine\n\n<h1>Abilities:</h1>- Astral Chains (-30%% move and attack speed)<br>- Fear Aura (-15%% damage)"
    "DOTA_Tooltip_Ability_train_banshee"               "Train Banshee"
    "DOTA_Tooltip_Ability_train_banshee_Description"   "<h1>Banshee</h1>Attack: Magic (420 range)<br>Armor: Divine\n\n<h1>Abilities:</h1>- Astral Chains (-30%% move and attack speed)<br>- Fear Aura (-15%% damage)"

    "DOTA_Tooltip_Ability_build_slaughter_house"               "Build Slaughter House"
    "DOTA_Tooltip_Ability_build_slaughter_house_Lore"          "Upgrades: 0"
    "DOTA_Tooltip_Ability_build_slaughter_house_Description"   "<font color='#995a0a'>Siege Trainer</font>\n<h1>Flesh Golem</h1>Attack: Siege (melee)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Demolish (Extra damage to buildings)<br>- Pulverize (33%%, 125 damage)"
    "DOTA_Tooltip_Ability_train_flesh_golem"               "Train Flesh Golem"
    "DOTA_Tooltip_Ability_train_flesh_golem_Description"   "<h1>Flesh Golem</h1>Attack: Siege (melee)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Demolish (Extra damage to buildings)<br>- Pulverize (33%%, 125 damage)"

    "DOTA_Tooltip_Ability_build_dragon_cemetary"               "Build Dragon Cemetary"
    "DOTA_Tooltip_Ability_build_dragon_cemetary_Lore"          "Upgrades: 0"
    "DOTA_Tooltip_Ability_build_dragon_cemetary_Description"   "<font color='#62bc25'>Unit Trainer</font>\n<h1>Frost Wyrm</h1>Attack: Normal (325 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Chilling Attack<br>- Splash Attack<br>- Flying"
    "DOTA_Tooltip_Ability_train_frost_wyrm"               "Train Frost Wyrm"
    "DOTA_Tooltip_Ability_train_frost_wyrm_Description"   "<h1>Frost Wyrm</h1>Attack: Normal (325 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Chilling Attack<br>- Splash Attack<br>- Flying"

    "DOTA_Tooltip_Ability_upgrade_skull_shrine"               "Upgrade Skull Shrine"
    "DOTA_Tooltip_Ability_upgrade_skull_shrine_Lore"          "Upgrades: 0"
    "DOTA_Tooltip_Ability_upgrade_skull_shrine_Description"   "<font color='#FFBF00'>Support Building</font>\nAbility: Greater Raise Dead\nRaises a random skeleton from a random corpse. Can raise normal or greater skeletons and generals."
    
    "DOTA_Tooltip_Ability_item_build_death_pit"               "Build Death Pit"
    "DOTA_Tooltip_Ability_item_build_death_pit_Lore"          "Upgrades: 0"
    "DOTA_Tooltip_Ability_item_build_death_pit_Description"   "<font color='#C40000'>Killing Building</font>\nAbility: Sudden Death\nKills a random enemy unit instantly."

    "DOTA_Tooltip_Ability_item_build_skull_pile"               "Build Skull Pile"
    "DOTA_Tooltip_Ability_item_build_skull_pile_Lore"          "Upgrades: 1"
    "DOTA_Tooltip_Ability_item_build_skull_pile_Description"   "<font color='#FFBF00'>Support Building</font>\nAbility: Raise Dead\nRaises a random skeleton from a random corpse."

    "DOTA_Tooltip_Ability_item_build_turret_of_souls"               "Build Turret of Souls"
    "DOTA_Tooltip_Ability_item_build_turret_of_souls_Lore"          "Upgrades: 0"
    "DOTA_Tooltip_Ability_item_build_turret_of_souls_Description"   "<font color='#a3098c'>Tower</font>\nAttack: Chaos (800 range)<br>Armor: Fortified<h1>Abilities</h1>- Soul Steal (5%%)<br>- Weaken Soul (-3 armor aura)"

    "DOTA_Tooltip_Ability_item_build_city_of_decay"               "Build City of Decay"
    "DOTA_Tooltip_Ability_item_build_city_of_decay_Lore"          "Upgrades: 0"
    "DOTA_Tooltip_Ability_item_build_city_of_decay_Description"   "<font color='#C40000'>Killing Building</font>\nAbility: Decay\nDeals 8dps to all non-mechanical enemy units. Does not stack."

    // Abilities

    "DOTA_Tooltip_Ability_city_of_decay_decay"                 "Decay"
    "DOTA_Tooltip_Ability_city_of_decay_decay_Description"     "Deals 8 dps to all non-mechanical enemy units. Does not stack."
    "DOTA_Tooltip_Ability_turret_of_souls_soul_steal"                 "Soul Steal"
    "DOTA_Tooltip_Ability_turret_of_souls_soul_steal_Description"     "Has a %chance%%% chance to steal the soul of the unit it attacks, instantly killing it."
    "DOTA_Tooltip_Ability_weaken_soul"                 "Weaken Soul"
    "DOTA_Tooltip_Ability_weaken_soul_Description"     "Reduces the armor of nearby enemy units by 3"
    "DOTA_Tooltip_Ability_skull_pile_raise_dead"                 "Raise Dead"
    "DOTA_Tooltip_Ability_skull_pile_raise_dead_Description"     "Raises a random skeleton from a random corpse"
    "DOTA_Tooltip_Ability_skull_shrine_greater_raise_dead"       "Greater Raise Dead"
    "DOTA_Tooltip_Ability_skull_shrine_greater_raise_dead_Description"     "Raises a random greater skeleton from a random corpse"
    "DOTA_Tooltip_Ability_necromancer_raise_dead"                 "Raise Dead"
    "DOTA_Tooltip_Ability_necromancer_raise_dead_Description"     "Raises a random skeleton from a nearby corpse"
    "DOTA_Tooltip_Ability_necromancer_greater_raise_dead"                 "Greater Raise Dead"
    "DOTA_Tooltip_Ability_necromancer_greater_raise_dead_Description"     "Raises a random skeleton from a nearby corpse. Can also raise Greater Skeletons and Heros, but no Generals."
    "DOTA_Tooltip_Ability_lich_ultimate_raise_dead"                 "Ultimate Raise Dead"
    "DOTA_Tooltip_Ability_lich_ultimate_raise_dead_Description"     "Raises 2 greater skeletons. Skeletons raised this way have 3 bonus armor, and 12 bonus attack."
    "DOTA_Tooltip_Ability_sudden_death"                 "Sudden Death"
    "DOTA_Tooltip_Ability_sudden_death_Description"     "Kills a random enemy unit instantly."
    "DOTA_Tooltip_Ability_zombie_rot"                 "Rot"
    "DOTA_Tooltip_Ability_zombie_rot_dps"             "DPS:"
    "DOTA_Tooltip_Ability_zombie_rot_radius"          "Radius:"
    "DOTA_Tooltip_Ability_zombie_rot_Description"     "Damages organic enemies in range, dealing damage per second"
    "DOTA_Tooltip_Ability_zombie_plague_attack"                 "Plague Attack"
    "DOTA_Tooltip_Ability_zombie_plague_attack_dps"             "DPS:"
    "DOTA_Tooltip_Ability_zombie_plague_attack_move_speed_slow_pct"                 "Move Slow:"
    "DOTA_Tooltip_Ability_zombie_plague_attack_duration"        "Duration:"
    "DOTA_Tooltip_Ability_zombie_plague_attack_Description"     "Units hit by the Zombie get their ms reduced, and take damage per second."
    "DOTA_Tooltip_Ability_necromancer_carrion_swarm"                 "Carrion Swarm"
    "DOTA_Tooltip_Ability_necromancer_carrion_swarm_Description"     "Has a 25%% chance on attack to release a carrion swarm that deals 70 damage to all enemies in a cone."
    "DOTA_Tooltip_Ability_lich_decaying_attack"                 "Decaying Attack"
    "DOTA_Tooltip_Ability_lich_decaying_attack_Description"     "Has a 15%% chance to soul steal its target, killing it instantly and gaining 50%% of its health, or a 10%% chance to cast death and decay on a 300 aoe around its target.\n\nDeath and Decay lasts 5 seconds and drains 8%% of enemies' max health per second."
    "DOTA_Tooltip_Ability_raise_lesser_vampire"                 "Raise Lesser Vampire"
    "DOTA_Tooltip_Ability_raise_lesser_vampire_Description"     "Upon killing an enemy, the Vampire raises the killed as a Lesser Vampire."
    "DOTA_Tooltip_Ability_raise_vampire"                 "Raise Vampire"
    "DOTA_Tooltip_Ability_raise_vampire_Description"     "Upon killing an enemy, the Greater Vampire raises the dead as a Vampire."
    "DOTA_Tooltip_Ability_vampire_lifesteal_aura"                 "Lifesteal Aura"
    "DOTA_Tooltip_Ability_vampire_lifesteal_aura_lifesteal"                 "Lifesteal:"
    "DOTA_Tooltip_Ability_vampire_lifesteal_aura_Description"     "Nearby melee allies gain lifesteal."
    "DOTA_Tooltip_Ability_banshee_fear_aura"                 "Fear Aura"
    "DOTA_Tooltip_Ability_banshee_fear_aura_Description"     "Decreases the damage output of all enemies in 450 range by 15%%"
    "DOTA_Tooltip_Ability_banshee_fear_aura_Lore"            "Spooky Ghost Lady. Don't make her warchief."
    "DOTA_Tooltip_Ability_banshee_astral_chains"                 "Astral Chains"
    "DOTA_Tooltip_Ability_banshee_astral_chains_Description"     "Reduces movement and attack speed of target enemy by 30%% for 35 seconds."
    "DOTA_Tooltip_Ability_flesh_golem_demolish"                 "Demolish"
    "DOTA_Tooltip_Ability_flesh_golem_demolish_damage_pct"      "Damage:"
    "DOTA_Tooltip_Ability_flesh_golem_demolish_Description"     "This unit deals extra damage to buildings"
    "DOTA_Tooltip_Ability_flesh_golem_pulverize"                 "Pulverize"
    "DOTA_Tooltip_Ability_flesh_golem_pulverize_Description"     "Grants a 33%% chance on attack to hit all enemies in 150 range for 125 damage and all units in 250 range for half damage."
    "DOTA_Tooltip_Ability_frost_wyrm_chilling_attack"                 "Chilling Attack"
    "DOTA_Tooltip_Ability_frost_wyrm_chilling_attack_Description"     "All units hit get chilled for 5 seconds."
    "DOTA_Tooltip_Ability_skeleton_general_command_aura"                 "Command Aura"
    "DOTA_Tooltip_Ability_skeleton_general_command_aura_Description"     "Increases nearby allies damage by 20%%."
    "DOTA_Tooltip_Ability_skeleton_warrior_bash"                 "Bash"
    "DOTA_Tooltip_Ability_skeleton_warrior_bash_bash_duration"   "Stun Duration:"
    "DOTA_Tooltip_Ability_skeleton_warrior_bash_bash_chance"     "%Stun Chance:"
    "DOTA_Tooltip_Ability_skeleton_warrior_bash_bash_damage"     "Damage:"
    "DOTA_Tooltip_Ability_skeleton_warrior_bash_Description"     "Has a chance to stun a unit on each attack."
    "DOTA_Tooltip_Ability_skeleton_critical_strike"              "Critical Strike"
    "DOTA_Tooltip_Ability_skeleton_critical_strike_crit_chance"  "%Crit Chance:"
    "DOTA_Tooltip_Ability_skeleton_critical_strike_crit_damage"  "%Crit Damage:"
    "DOTA_Tooltip_Ability_skeleton_critical_strike_Description"  "Has a chance to do a critical hit"
    "DOTA_Tooltip_Ability_skeleton_evasion"                      "Evasion"
    "DOTA_Tooltip_Ability_skeleton_evasion_evasion"              "%Evasion:"
    "DOTA_Tooltip_Ability_skeleton_evasion_Description"          "Has a chance to evade attacks"

    // Modifiers

    "DOTA_Tooltip_modifier_fear_aura"     "Fear Aura"
    "DOTA_Tooltip_modifier_fear_aura_Description"     "Reducing nearby enemys' damage by %damage_decrease%%%."
    "DOTA_Tooltip_modifier_fear_aura_buff"     "Scared"
    "DOTA_Tooltip_modifier_fear_aura_buff_Description"     "Dealing %damage_decrease%%% less damage."
    "DOTA_Tooltip_modifier_city_of_decay_aura"     "Decay Aura"
    "DOTA_Tooltip_modifier_city_of_decay_aura_Description"     "Dealing damage to all enemy units. Does not stack."
    "DOTA_Tooltip_modifier_city_of_decay_debuff"     "Decay"
    "DOTA_Tooltip_modifier_city_of_decay_debuff_Description"     "Periodically taking damage."
    "DOTA_Tooltip_modifier_soul_steal"     "Soul Steal"
    "DOTA_Tooltip_modifier_soul_steal_Description"     "Has a %chance%%% chance to instantly kill units upon attacking them."
    "DOTA_Tooltip_modifier_weaken_soul_aura"     "Weaken Soul Aura"
    "DOTA_Tooltip_modifier_weaken_soul_aura_Description"     "Lowering the armor of nearby enemies"
    "DOTA_Tooltip_modifier_weaken_soul_debuff"     "Weaken Soul"
    "DOTA_Tooltip_modifier_weaken_soul_debuff_Description"     "Armor Lowered"
    "DOTA_Tooltip_modifier_raise_lesser_vampire"     "Raise Lesser Vampire"
    "DOTA_Tooltip_modifier_raise_lesser_vampire_Description"     "Units killed by the Vampire are raised as Lesser Vampires."
    "DOTA_Tooltip_modifier_raise_vampire"     "Raise Vampire"
    "DOTA_Tooltip_modifier_raise_vampire_Description"     "Units killed by the Vampire Lord are raised as Vampires."
    "DOTA_Tooltip_modifier_death_and_decay"     "Death and Decay"
    "DOTA_Tooltip_modifier_death_and_decay_Description"     "Has a 15%% chance to soul steal its target, killing it instantly and gaining 50%% of its health, or a 10%% chance to cast death and decay on a 300 aoe around its target."
    "DOTA_Tooltip_modifier_carrion_swarm"     "Carrion Swarm"
    "DOTA_Tooltip_modifier_carrion_swarm_Description"     "The Necromancer has a %chance%%% chance to cast Carrion Swarm on attack"
    "DOTA_Tooltip_modifier_plague_attack"     "Plague Attack"
    "DOTA_Tooltip_modifier_plague_attack_Description"     "Causes enemies hit by the zombie's attacks to take damage over time"
    "DOTA_Tooltip_modifier_plague_attack_debuff"     "Plague Attack"
    "DOTA_Tooltip_modifier_plague_attack_debuff_Description"     "Periodically taking damage."
    "DOTA_Tooltip_modifier_zombie_rot_aura"     "Rot"
    "DOTA_Tooltip_modifier_zombie_rot_aura_Description"     "Taking damage from Rot"
    "DOTA_Tooltip_modifier_vampire_lifesteal_aura"     "Lifesteal Aura"
    "DOTA_Tooltip_modifier_vampire_lifesteal_aura_Description"     "Nearby melee units gain lifesteal."
    "DOTA_Tooltip_modifier_vampire_lifesteal_aura_buff"     "Lifesteal"
    "DOTA_Tooltip_modifier_vampire_lifesteal_aura_buff_Description"     "Attacks restore a percentage of damage as healing."
    "DOTA_Tooltip_modifier_vampire_attack"     "Vampiric Attack"
    "DOTA_Tooltip_modifier_vampire_attack_Description"     "Attacks Lifesteal."
    "DOTA_Tooltip_modifier_astral_chains_debuff"     "Astral Chains"
    "DOTA_Tooltip_modifier_astral_chains_debuff_Description"     "Attack and Movement speed slowed"
    "DOTA_Tooltip_modifier_chilling_attack"     "Chilling Attack"
    "DOTA_Tooltip_modifier_chilling_attack_Description"     "Units hit by the Frost Wyrm's attacks are slowed."
    "DOTA_Tooltip_modifier_chilling_attack_debuff"     "Chilling Attack"
    "DOTA_Tooltip_modifier_chilling_attack_debuff_Description"     "Slowed by Chilling Attack"
    "DOTA_Tooltip_modifier_command_aura"     "Command Aura"
    "DOTA_Tooltip_modifier_command_aura_Description"     "Increasing base damage of nearby allies"
    "DOTA_Tooltip_modifier_command_aura_buff"     "Command Aura"
    "DOTA_Tooltip_modifier_command_aura_buff_Description"     "Attack increased by Command Aura"
    "DOTA_Tooltip_modifier_ultimate_raise_dead"     "Ultimate Raise Dead"
    "DOTA_Tooltip_modifier_ultimate_raise_dead_Description"     "Attack and Armor increased"

    //////////////////////
    // Night Elves Race
    //////////////////////

    "hunter"              "Hunter" 
    "ranger"              "Ranger" 
    "amazon"              "Amazon" 
    "druid"               "Druid" 
    "sage_druid"          "Sage Druid" 
    "assassin"            "Assassin" 
    "royal_assassin"      "Royal Assassin" 
    "avenging_spirit"     "Avenging Spirit" 
    "avatar_of_vengeance" "Avatar of Vengeance" 
    "faerie_dragon"       "Faerie Dragon" 
    "glaive_thrower"      "Glaive Thrower" 

    "hunters_hall"            "Hunters Hall" 
    "rangers_hall"            "Rangers Hall" 
    "amazons_hall"            "Amazons Hall" 
    "moon_shrine"             "Moon Shrine" 
    "moon_altar"              "Moon Altar" 
    "house_of_shadows"        "House of Shadows" 
    "guild_of_shadows"        "Guild of Shadows" 
    "pillaged_hut"            "Pillaged Hut" 
    "scorched_mansion"        "Scorched Mansion" 
    "fountain_of_wonders"     "Fountain of Wonders" 
    "nightelf_siege_factory"  "Nightelf Siege Factory" 
    "silver_glade"            "Silver Glade" 
    "obelisk_of_wilderness"   "Obelisk of Wilderness" 
    "elunes_lantern"          "Elunes Lantern" 
    "starfall_obelisk"        "Starfall Obelisk" 


"DOTA_Tooltip_Ability_build_hunters_hall"                "Build Hunter's Hall"
"DOTA_Tooltip_Ability_build_hunters_hall_Lore"           "Upgrades: 2"
"DOTA_Tooltip_Ability_build_hunters_hall_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Huntress</h1>Attack: Pierce (400 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Evade (8%%)"
"DOTA_Tooltip_Ability_train_huntress"                "Train Huntress"
"DOTA_Tooltip_Ability_train_huntress_Description"    "<h1>Huntress</h1>Attack: Pierce (400 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Evade (8%%)"

"DOTA_Tooltip_Ability_upgrade_rangers_hall"                "Upgrade Ranger's Hall"
"DOTA_Tooltip_Ability_upgrade_rangers_hall_Lore"           "Upgrades: 1"
"DOTA_Tooltip_Ability_upgrade_rangers_hall_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Ranger</h1>Attack: Pierce (425 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Evade (15%%)<br>- Multi-Shot (3 targets)"
"DOTA_Tooltip_Ability_train_ranger"                "Train Ranger"
"DOTA_Tooltip_Ability_train_ranger_Description"    "<h1>Ranger</h1>Attack: Pierce (425 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Evade (15%%)<br>- Multi-Shot (3 targets)"

"DOTA_Tooltip_Ability_upgrade_amazons_hall"                "Upgrade Amazon's Hall"
"DOTA_Tooltip_Ability_upgrade_amazons_hall_Lore"           "Upgrades: 0"
"DOTA_Tooltip_Ability_upgrade_amazons_hall_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Amazon</h1>Attack: Pierce (460 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Evade (25%%)<br>- Multi-Shot (7 targets)<br>- Legendary Spell Resistance"
"DOTA_Tooltip_Ability_train_amazon"                "Train Amazon"
"DOTA_Tooltip_Ability_train_amazon_Description"    "<h1>Amazon</h1>Attack: Pierce (460 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Evade (25%%)<br>- Multi-Shot (7 targets)<br>- Legendary Spell Resistance"

"DOTA_Tooltip_Ability_build_moon_shrine"                "Build Moon Shrine"
"DOTA_Tooltip_Ability_build_moon_shrine_Lore"           "Upgrades: 1"
"DOTA_Tooltip_Ability_build_moon_shrine_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Druid</h1>Attack: Chaos (375 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Entangle"
"DOTA_Tooltip_Ability_train_druid"                "Train Druid"
"DOTA_Tooltip_Ability_train_druid_Description"    "<h1>Druid</h1>Attack: Chaos (375 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Entangle"

"DOTA_Tooltip_Ability_upgrade_moon_altar"                "Upgrade Moon Altar"
"DOTA_Tooltip_Ability_upgrade_moon_altar_Lore"           "Upgrades: 0"
"DOTA_Tooltip_Ability_upgrade_moon_altar_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Druid</h1>Attack: Chaos (375 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Mass Entangle (3 targets)"
"DOTA_Tooltip_Ability_train_sage_druid"                "Train Sage Druid"
"DOTA_Tooltip_Ability_train_sage_druid_Description"    "<h1>Sage Druid</h1>Attack: Chaos (375 range)<br>Armor: Unarmored\n\n<h1>Abilities:</h1>- Mass Entangle (3 targets)"

"DOTA_Tooltip_Ability_build_house_of_shadows"                "Build House Of Shadows"
"DOTA_Tooltip_Ability_build_house_of_shadows_Lore"           "Upgrades: 1"
"DOTA_Tooltip_Ability_build_house_of_shadows_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Assassin</h1>Attack: Pierce (melee)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Evasion (15%%)<br>- Feedback (40 mana, x1.7)<br>- Backstab (150 dmg, windwalk)"
"DOTA_Tooltip_Ability_train_assassin"                "Train Assassin"
"DOTA_Tooltip_Ability_train_assassin_Description"    "<h1>Assassin</h1>Attack: Pierce (melee)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Evasion (15%%)<br>- Feedback (40 mana, x1.7)<br>- Backstab (150 dmg, windwalk)"

"DOTA_Tooltip_Ability_upgrade_guild_of_shadows"                "Upgrade Guild Of Shadows"
"DOTA_Tooltip_Ability_upgrade_guild_of_shadows_Lore"           "Upgrades: 0"
"DOTA_Tooltip_Ability_upgrade_guild_of_shadows_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Royal Assassin</h1>Attack: Pierce (melee)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Evasion (25%%)<br>- Feedback (60 mana, x2.2)<br>- Backstab (300 dmg, windwalk)"
"DOTA_Tooltip_Ability_train_royal_assassin"                "Train Royal Assassin"
"DOTA_Tooltip_Ability_train_royal_assassin_Description"    "<h1>Royal Assassin</h1>Attack: Pierce (melee)<br>Armor: Medium\n\n<h1>Abilities:</h1>- Evasion (25%%)<br>- Feedback (60 mana, x2.2)<br>- Backstab (300 dmg, windwalk)"

"DOTA_Tooltip_Ability_build_pillaged_hut"                "Build Pillaged Hut"
"DOTA_Tooltip_Ability_build_pillaged_hut_Lore"           "Upgrades: 1"
"DOTA_Tooltip_Ability_build_pillaged_hut_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Avenging Spirit</h1>Attack: Magic (melee)<br>Armor: Light\n\n<h1>Abilities:</h1>- Corrosive Attack (-4 armor)<br>- Spell Reduction<br>-Heal on Kill (12%%)<br>- Evade (30%%)<br>"
"DOTA_Tooltip_Ability_train_avenging_spirit"                "Train Avenging Spirit"
"DOTA_Tooltip_Ability_train_avenging_spirit_Description"    "<h1>Avenging Spirit</h1>Attack: Magic (melee)<br>Armor: Light\n\n<h1>Abilities:</h1>- Corrosive Attack (-4 armor)<br>- Spell Reduction<br>-Heal on Kill (12%%)<br>- Evade (30%%)<br>"

"DOTA_Tooltip_Ability_upgrade_scorched_mansion"                "Upgrade Scorched Mansion"
"DOTA_Tooltip_Ability_upgrade_scorched_mansion_Lore"           "Upgrades: 0"
"DOTA_Tooltip_Ability_upgrade_scorched_mansion_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Avatar of Vengeance</h1>Attack: Magic (melee)<br>Armor: Light\n\n<h1>Abilities:</h1>- Corrosive Attack (-7 armor)<br>- Spell Reduction<br>-Heal on Kill (14%%)<br>- Evade (40%%)<br>- Revenge (350 dmg)"
"DOTA_Tooltip_Ability_train_avatar_of_vengeance"                "Train Avatar Of Vengeance"
"DOTA_Tooltip_Ability_train_avatar_of_vengeance_Description"    "<h1>Avatar of Vengeance</h1>Attack: Magic (melee)<br>Armor: Light\n\n<h1>Abilities:</h1>- Corrosive Attack (-7 armor)<br>- Spell Reduction<br>-Heal on Kill (14%%)<br>- Evade (40%%)<br>- Revenge (350 dmg)"

"DOTA_Tooltip_Ability_build_fountain_of_wonders"                "Build Fountain Of Wonders"
"DOTA_Tooltip_Ability_build_fountain_of_wonders_Lore"           "Upgrades: 0"
"DOTA_Tooltip_Ability_build_fountain_of_wonders_Description"    "<font color='#62bc25'>Unit Trainer</font>\n<h1>Faerie Dragon</h1>Attack: Magic (550 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Flying<br>- Heal (175)<br>- Feedback (25 mana, x1.0 dmg)"
"DOTA_Tooltip_Ability_train_faerie_dragon"                "Train Faerie Dragon"
"DOTA_Tooltip_Ability_train_faerie_dragon_Description"    "<h1>Faerie Dragon</h1>Attack: Magic (550 range)<br>Armor: Light\n\n<h1>Abilities:</h1>- Flying<br>- Heal (175)<br>- Feedback (25 mana, x1.0 dmg)"

"DOTA_Tooltip_Ability_build_nightelf_siege_factory"                "Build Nightelf Siege Factory"
"DOTA_Tooltip_Ability_build_nightelf_siege_factory_Lore"           "Upgrades: 0"
"DOTA_Tooltip_Ability_build_nightelf_siege_factory_Description"    "<font color='#995a0a'>Siege Trainer</font>\n<h1>Glaive Thrower</h1>Attack: Siege (1000 range)<br>Armor: Heavy\n\n<h1>Abilities:</h1>- Bouncing Attack (4 targets)<br>- <font color='#C40000'>Can't attack air</font>"
"DOTA_Tooltip_Ability_train_glaive_thrower"                "Train Glaive Thrower"
"DOTA_Tooltip_Ability_train_glaive_thrower_Description"    "<h1>Glaive Thrower</h1>Attack: Siege (1000 range)<br>Armor: Heavy\n\n<h1>Abilities:</h1>- Bouncing Attack (4 targets)<br>- <font color='#C40000'>Can't attack air</font>"

"DOTA_Tooltip_Ability_item_build_silver_glade"                "Build Silver Glade"
"DOTA_Tooltip_Ability_item_build_silver_glade_Lore"           "Upgrades: 0"
"DOTA_Tooltip_Ability_item_build_silver_glade_Description"    "<font color='#FFBF00'>Support Building</font>\nAbility: Moon Shine Blessing\nBlesses everything around a random friendly unit that is attacked. Blessed units regain 175 health, 50 mana and +6 armor for 6 seconds. Can't bless units that are currently blessed."

"DOTA_Tooltip_Ability_item_build_obelisk_of_wilderness"                "Build Obelisk Of Wilderness"
"DOTA_Tooltip_Ability_item_build_obelisk_of_wilderness_Lore"           "Upgrades: 0"
